Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Member Type
0h 14m 7s,1/1/2014 1:57,Convention Center / 7th & M St NW,31223,1/1/2014 2:11,17th & Corcoran St NW,31214,W21413,Registered
0h 4m 14s,1/1/2014 1:57,Clarendon Metro / Wilson Blvd & N Highland St,31022,1/1/2014 2:02,Barton St & 10th St N,31050,W21000,Registered
0h 7m 12s,1/1/2014 1:58,McPherson Square / 14th & H St NW,31216,1/1/2014 2:06,Convention Center / 7th & M St NW,31223,W20569,Registered
0h 5m 45s,1/1/2014 1:58,Fairfax Dr & Wilson Blvd,31023,1/1/2014 2:04,N Quincy St & Wilson Blvd,31039,W00151,Registered
0h 40m 56s,1/1/2014 1:59,13th & U St NW,31268,1/1/2014 2:40,23rd & Crystal Dr,31011,W21399,Registered
0h 2m 55s,1/1/2014 1:59,Virginia Square Metro / N Monroe St & 9th St N,31024,1/1/2014 2:02,N Quincy St & Wilson Blvd,31039,W00327,Registered
0h 2m 35s,1/1/2014 1:59,Virginia Square Metro / N Monroe St & 9th St N,31024,1/1/2014 2:02,N Quincy St & Wilson Blvd,31039,W21106,Registered
0h 18m 15s,1/1/2014 1:59,Massachusetts Ave & Dupont Circle NW,31200,1/1/2014 2:18,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W21073,Registered
0h 1m 37s,1/1/2014 2:01,14th & V St NW,31101,1/1/2014 2:02,14th & Belmont St NW,31119,W00659,Registered
0h 13m 47s,1/1/2014 2:01,14th & Harvard St NW,31105,1/1/2014 2:15,17th St & Massachusetts Ave NW,31267,W00557,Registered
0h 5m 14s,1/1/2014 2:01,Thomas Circle,31241,1/1/2014 2:06,7th & R St NW / Shaw Library,31245,W01287,Registered
0h 19m 59s,1/1/2014 2:01,Thomas Circle,31241,1/1/2014 2:21,17th St & Massachusetts Ave NW,31267,W20889,Registered
0h 7m 44s,1/1/2014 2:01,California St & Florida Ave NW,31116,1/1/2014 2:09,14th & Rhode Island Ave NW,31203,W20833,Registered
